DT_CODE,Area_Name,Age,Total_P,Total_M,Total_F,Rural,Rural_M,Rural_F,Urban,Urban_M,Urban_F
488,District - Bharuch (21),5,27425,14341,13084,18502,9594,8908,8923,4747,4176
489,District - The Dangs (22),5,5815,2965,2850,5384,2733,2651,431,232,199
490,District - Navsari   (23),5,20084,10635,9449,13653,7093,6560,6431,3542,2889
491,District - Valsad (24),5,32026,16810,15216,20679,10710,9969,11347,6100,5247
492,District - Surat (25),5,110679,61034,49645,20633,10696,9937,90046,50338,39708
493,District - Tapi (26),5,13147,6736,6411,11767,6021,5746,1380,715,665
468,District - Kachchh (01),6,45534,23805,21729,31492,16463,15029,14042,7342,6700
469,District - Banas Kantha (02),6,75977,40272,35705,67609,35744,31865,8368,4528,3840
470,District - Patan   (03),6,27497,14746,12751,22617,12061,10556,4880,2685,2195
471,District - Mahesana (04),6,36241,20103,16138,27872,15322,12550,8369,4781,3588
472,District - Sabar Kantha (05),6,47237,25296,21941,40706,21600,19106,6531,3696,2835
473,District - Gandhinagar (06),6,24801,13903,10898,14580,8137,6443,10221,5766,4455
474,District - Ahmadabad (07),6,123307,67730,55577,22946,12100,10846,100361,55630,44731
475,District - Surendranagar (08),6,35579,19038,16541,27040,14322,12718,8539,4716,3823
476,District - Rajkot (09),6,63966,34970,28996,27533,14837,12696,36433,20133,16300
477,District - Jamnagar (10),6,39696,21117,18579,22777,11978,10799,16919,9139,7780
478,District - Porbandar  (11),6,10506,5576,4930,5675,2963,2712,4831,2613,2218
479,District - Junagadh (12),6,48426,25535,22891,33189,17453,15736,15237,8082,7155
480,District - Amreli (13),6,25899,13793,12106,19621,10439,9182,6278,3354,2924
481,District - Bhavnagar (14),6,56043,30087,25956,35160,18609,16551,20883,11478,9405
482,District - Anand   (15),6,36557,19834,16723,26007,14115,11892,10550,5719,4831
483,District - Kheda (16),6,40866,21900,18966,32139,17131,15008,8727,4769,3958
484,District - Panch Mahals (17),6,50042,26297,23745,43604,22818,20786,6438,3479,2959
485,District - Dohad   (18),6,54668,28194,26474,50701,26084,24617,3967,2110,1857
486,District - Vadodara (19),6,72806,38648,34158,41102,21449,19653,31704,17199,14505
487,District - Narmada (20),6,11157,5754,5403,10197,5236,4961,960,518,442
488,District - Bharuch (21),6,27219,14320,12899,18267,9461,8806,8952,4859,4093
489,District - The Dangs (22),6,6084,3127,2957,5673,2918,2755,411,209,202
490,District - Navsari   (23),6,20178,10533,9645,13886,7190,6696,6292,3343,2949
491,District - Valsad (24),6,31125,16136,14989,20076,10214,9862,11049,5922,5127
492,District - Surat (25),6,107156,59217,47939,20692,10787,9905,86464,48430,38034
493,District - Tapi (26),6,12997,6701,6296,11669,6001,5668,1328,700,628
468,District - Kachchh (01),7,47009,24422,22587,32372,16691,15681,14637,7731,6906
469,District - Banas Kantha (02),7,78204,41236,36968,69356,36378,32978,8848,4858,3990
470,District - Patan   (03),7,28681,15175,13506,23384,12328,11056,5297,2847,2450
471,District - Mahesana (04),7,37959,20940,17019,28956,15857,13099,9003,5083,3920
472,District - Sabar Kantha (05),7,49101,26045,23056,42085,22215,19870,7016,3830,3186
473,District - Gandhinagar (06),7,25948,14186,11762,15432,8372,7060,10516,5814,4702
474,District - Ahmadabad (07),7,131842,72238,59604,24524,13015,11509,107318,59223,48095
475,District - Surendranagar (08),7,38065,20224,17841,28770,15207,13563,9295,5017,4278
476,District - Rajkot (09),7,69514,37651,31863,30033,16095,13938,39481,21556,17925
477,District - Jamnagar (10),7,42636,22351,20285,24298,12660,11638,18338,9691,8647
478,District - Porbandar  (11),7,11209,5889,5320,5942,3099,2843,5267,2790,2477
479,District - Junagadh (12),7,52846,27806,25040,36362,18971,17391,16484,8835,7649
480,District - Amreli (13),7,28398,15058,13340,21348,11312,10036,7050,3746,3304
481,District - Bhavnagar (14),7,61580,32865,28715,38708,20480,18228,22872,12385,10487
482,District - Anand   (15),7,38888,20926,17962,27740,14849,12891,11148,6077,5071
483,District - Kheda (16),7,45144,24051,21093,35513,18880,16633,9631,5171,4460
484,District - Panch Mahals (17),7,53211,27780,25431,46537,24148,22389,6674,3632,3042
485,District - Dohad   (18),7,57106,29268,27838,52895,26964,25931,4211,2304,1907
486,District - Vadodara (19),7,78400,41637,36763,44256,22938,21318,34144,18699,15445
487,District - Narmada (20),7,12229,6322,5907,11237,5772,5465,992,550,442
488,District - Bharuch (21),7,29080,15305,13775,19465,10087,9378,9615,5218,4397
489,District - The Dangs (22),7,6463,3252,3211,5941,2996,2945,522,256,266
490,District - Navsari   (23),7,21297,11038,10259,14746,7545,7201,6551,3493,3058
491,District - Valsad (24),7,34408,17769,16639,22736,11587,11149,11672,6182,5490
492,District - Surat (25),7,113024,62122,50902,22433,11624,10809,90591,50498,40093
493,District - Tapi (26),7,14004,7111,6893,12623,6400,6223,1381,711,670
468,District - Kachchh (01),8,46360,24143,22217,32251,16664,15587,14109,7479,6630
469,District - Banas Kantha (02),8,81321,42738,38583,72577,38000,34577,8744,4738,4006
470,District - Patan   (03),8,29801,15838,13963,24452,12914,11538,5349,2924,2425
471,District - Mahesana (04),8,38028,21165,16863,29395,16205,13190,8633,4960,3673
472,District - Sabar Kantha (05),8,50976,27231,23745,43920,23359,20561,7056,3872,3184
473,District - Gandhinagar (06),8,24736,13732,11004,14719,8124,6595,10017,5608,4409
474,District - Ahmadabad (07),8,121038,66026,55012,24008,12571,11437,97030,53455,43575
475,District - Surendranagar (08),8,37586,20099,17487,28716,15184,13532,8870,4915,3955
476,District - Rajkot (09),8,66468,36127,30341,29424,15864,13560,37044,20263,16781
477,District - Jamnagar (10),8,42297,22360,19937,24531,12824,11707,17766,9536,8230
